insertSort, m36, t50, w8, 787, 23, 2087, 2905, 57.9907, 0.9444, 1900, 40, a3, 111011
primes, m136, t100, w2, 3518, 314, 14434, 19482, 106.1324, 0.8793, 398, 30, a3, 100110
squareMatrix, m364, t50, w4, 9274, 50, 46298, 55832, 127.1923, 1.0, 903, 72, a5, 100011
mergeSort, m452, t50, w2, 20672, 162, 137362, 158546, 303.8982, 0.9336, 1900, 129, a4, 000010
insertSort, m216, t50, w4, 4824, 154, 24540, 29808, 113.6111, 0.9444, 1900, 40, a4, 011010
squareMatrix, m60, t50, w8, 1618, 134, 3483, 5179, 57.4176, 1.0, 903, 72, a3, 010011
factorial, m10, t100, w2, 268, 319, 6520, 6978, 631, 0.9677, 403, 18, a2, 111110
minProd, m362, t50, w2, 13240, 161, 31688, 46452, 87.5359, 0.8659, 1946, 72, a3, 101111
parg, m836, t52, w4, 141974, 55, 872, 143068, 1.0426, 1.0, 418, 2518, a5, 101010
squareMatrix, m60, t50, w4, 1585, 147, 7714, 9373, 127.1538, 1.0, 903, 72, a2, 011010
huffmanCoding, m157, t50, w4, 9029, 154, 17198, 26392, 109.5446, 0.9013, 1874, 318, a4, 001011
transpose, m74, t50, w2, 2934, 166, 31171, 34600, 418.4094, 0.8993, 903, 40, a4, 111111
factorial, m62, t100, w8, 1032, 39, 10552, 11792, 170.1935, 0.9677, 403, 18, a5, 110010
dictionaryOrder, m23, t100, w8, 375, 40, 1667, 2189, 70.4648, 0.9265, 8248, 32, a2, 111111
factorial, m15, t100, w2, 780, 326, 9777, 10752, 630.8065, 0.9677, 403, 18, a4, 101000
insertSort, m216, t50, w4, 4750, 150, 24754, 31070, 114.6019, 0.9444, 1900, 40, a2, 011110
genPassword, m24, t100, w4, 497, 299, 1006, 1683, 41.0612, 0.8367, 398, 63, a5, 011011
quickSort, m254, t50, w2, 13610, 164, 163988, 179590, 645.622, 0.9603, 1900, 56, a2, 111110
parg, m1254, t52, w4, 213759, 164, 1290, 215449, 1.0287, 1.0, 418, 2518, a3, 011010
quickSort, m254, t50, w2, 26600, 158, 173658, 201512, 683.6929, 0.9603, 1900, 56, a3, 001101
mergeSort, m113, t50, w2, 5049, 160, 34075, 39249, 301.5531, 0.9336, 1900, 129, a3, 000011
genPassword, m24, t100, w4, 503, 94, 1026, 1645, 41.8776, 0.8367, 398, 63, a3, 110111
dictionaryOrder, m142, t100, w2, 7114, 326, 67082, 75846, 472.4085, 0.9265, 8248, 32, a4, 110100
huffmanCodingEff, m66, t50, w2, 5140, 158, 13600, 19198, 205.0352, 0.849, 1874, 239, a2, 110110
factorial, m10, t100, w8, 166, 293, 1758, 2042, 170.129, 0.9677, 403, 18, a5, 010010
factorial, m62, t100, w2, 3134, 317, 39050, 43346, 629.8387, 0.9677, 403, 18, a3, 011100
selectSort, m46, t50, w2, 1524, 163, 20092, 21989, 436.7826, 0.9101, 1900, 45, a2, 010110
insertSort, m36, t50, w4, 792, 148, 4114, 5037, 114.287, 0.9444, 1900, 40, a2, 000111
insertSort, m36, t50, w8, 790, 150, 2104, 2966, 58.4537, 0.9444, 1900, 40, a3, 000010
genPassword, m98, t100, w8, 1942, 258, 1824, 4414, 18.6122, 0.8367, 398, 63, a3, 010010
factorial, m10, t100, w4, 165, 309, 2344, 2696, 226.9032, 0.9677, 403, 18, a2, 000110
dictionaryOrder, m23, t100, w2, 645, 327, 11345, 12207, 479.3662, 0.9265, 8248, 32, a4, 000111
selectSort, m30, t50, w2, 2048, 161, 13399, 15605, 436.9239, 0.9101, 1900, 45, a2, 111101
bubbleSort, m37, t50, w2, 2475, 166, 71555, 74361, 1899.6991, 0.9182, 1900, 41, a3, 001100
insertSort, m36, t50, w4, 804, 154, 4090, 4968, 113.6111, 0.9444, 1900, 40, a4, 011010
factorial, m10, t100, w2, 520, 321, 6551, 7237, 633.9677, 0.9677, 403, 18, a3, 001101
longestIncrease, m228, t50, w4, 19816, 3441, 100222, 127104, 439.5702, 0.9035, 1946, 70, a2, 100001
selectSort, m46, t50, w8, 1025, 152, 2923, 4101, 63.5543, 0.9101, 1900, 45, a3, 001111
transpose, m298, t50, w2, 24410, 157, 124598, 149482, 418.1141, 0.8993, 903, 40, a3, 111000
longestIncrease, m57, t50, w2, 4897, 9460, 64437, 74283, 1130.4825, 0.9196, 1946, 70, a2, 001101
squareMatrix, m60, t50, w4, 1569, 50, 7684, 9301, 126.6648, 1.0, 903, 72, a4, 111010
parg, m836, t52, w2, 154759, 169, 3003, 158024, 3.5911, 1.0, 418, 2518, a3, 000010
insertSort, m36, t50, w4, 808, 51, 4153, 5002, 115.3704, 0.9444, 1900, 40, a4, 111011
factorial, m62, t100, w2, 1530, 315, 39090, 41758, 630.4839, 0.9677, 403, 18, a4, 011110
genPassword, m24, t100, w4, 503, 293, 1016, 1699, 41.4898, 0.8367, 398, 63, a2, 001011
minProd, m90, t50, w4, 2217, 52, 2710, 4993, 29.9503, 0.7845, 1946, 72, a5, 101011
parg, m836, t52, w4, 142440, 56, 869, 143532, 1.0395, 1.0, 418, 2518, a4, 101010
mergeSort, m452, t50, w4, 13656, 50, 45710, 60092, 101.1283, 0.9336, 1900, 129, a3, 111111
selectSort, m184, t50, w2, 12444, 161, 80100, 94070, 435.3261, 0.9101, 1900, 45, a3, 001100
bubbleSort, m226, t50, w8, 5016, 139, 123184, 129608, 545.0619, 0.9182, 1900, 41, a4, 010110
quickSort, m42, t50, w2, 2251, 160, 28962, 31425, 684.1417, 0.9603, 1900, 56, a2, 110111
parg, m5018, t52, w4, 855774, 172, 5266, 862598, 1.0494, 1.0, 418, 2518, a5, 000010
factorial, m15, t100, w4, 797, 101, 3518, 4394, 226.9677, 0.9677, 403, 18, a3, 100001
mergeSort, m75, t50, w2, 6838, 157, 22746, 29669, 301.9425, 0.9336, 1900, 129, a4, 000000
factorial, m15, t100, w2, 807, 329, 9797, 10857, 632.0645, 0.9677, 403, 18, a3, 101101
longestIncrease, m38, t50, w2, 1644, 9421, 43997, 48988, 1157.8333, 0.9196, 1946, 70, a4, 000111
squareMatrix, m364, t50, w4, 9340, 147, 45880, 57662, 126.044, 1.0, 903, 72, a5, 010110
huffmanCodingEff, m66, t50, w4, 3277, 150, 4571, 8138, 68.9196, 0.849, 1874, 239, a3, 000111
add, m6, t100, w4, 100, 96, 63, 251, 10.5833, 0.9167, 583, 13, a4, 110111
massive, m16, t60, w4, 608, 38435, 20847, 34285, 1276.3878, 1.0, 169, 13, a5, 110001
bubbleSort, m56, t50, w2, 3727, 166, 106374, 110582, 1882.7257, 0.9182, 1900, 41, a3, 000100
selectSort, m30, t50, w4, 683, 52, 5002, 5774, 163.1304, 0.9101, 1900, 45, a2, 100111
minProd, m362, t50, w4, 8914, 48, 10588, 19762, 29.2486, 0.7845, 1946, 72, a3, 111010
bubbleSort, m37, t50, w2, 2419, 165, 73636, 76377, 1954.9381, 0.9182, 1900, 41, a4, 110100
dictionaryOrder, m35, t100, w4, 1790, 307, 5818, 7843, 163.8873, 0.9265, 8248, 32, a3, 010101
quickSort, m63, t50, w4, 2232, 52, 15504, 18189, 244.1654, 0.9603, 1900, 56, a2, 111110
squareMatrix, m60, t50, w2, 4732, 155, 18533, 23503, 305.489, 1.0, 903, 72, a5, 000101
factorial, m15, t100, w8, 257, 41, 2628, 2938, 169.5806, 0.9677, 403, 18, a5, 101010
transpose, m298, t50, w2, 24228, 164, 124620, 149356, 418.1879, 0.8993, 903, 40, a5, 111000
parg, m5018, t52, w4, 856372, 54, 16626, 880420, 3.3133, 1.0, 418, 2518, a4, 100111
anagram, m20, t100, w2, 1073, 323, 2700, 3902, 135, 0.8667, 1370, 37, a3, 110001
transpose, m49, t50, w8, 1242, 20, 3374, 4818, 67.9396, 0.9054, 903, 40, a2, 100111
selectSort, m184, t50, w4, 4024, 49, 30016, 35230, 163.1304, 0.9101, 1900, 45, a3, 110110
mergeSort, m113, t50, w2, 10345, 147, 34352, 45492, 304.0044, 0.9336, 1900, 129, a4, 001100
genPassword, m98, t100, w2, 3048, 321, 11024, 14846, 112.4898, 0.8367, 398, 63, a4, 001010
transpose, m298, t50, w2, 23626, 158, 124082, 148190, 416.3826, 0.8993, 903, 40, a4, 110000
parg, m1254, t52, w8, 217062, 21, 413, 223101, 0.3292, 1.0, 418, 2518, a2, 111110
parg, m836, t52, w2, 144341, 174, 2850, 152590, 3.4085, 1.0, 418, 2518, a4, 001110
transpose, m49, t50, w2, 3978, 158, 20657, 24716, 415.9128, 0.8993, 903, 40, a4, 001000
dictionaryOrder, m142, t100, w4, 2406, 99, 23630, 26950, 166.4085, 0.9265, 8248, 32, a2, 111111
factorial, m62, t100, w2, 3280, 321, 38984, 43016, 628.7742, 0.9677, 403, 18, a5, 010000
primes, m136, t100, w4, 2236, 315, 5028, 8194, 36.9706, 0.8793, 398, 30, a2, 011111
genPassword, m16, t100, w8, 334, 42, 314, 684, 19.2245, 0.8367, 398, 63, a3, 101011
minProd, m362, t50, w4, 8986, 146, 10636, 20068, 29.3812, 0.7845, 1946, 72, a3, 000010
longestIncrease, m38, t50, w4, 1049, 10185, 16734, 21211, 440.386, 0.9035, 1946, 70, a2, 001010
parg, m1254, t52, w8, 217446, 21, 403, 218769, 0.3212, 1.0, 418, 2518, a2, 101111
bubbleSort, m56, t50, w2, 3717, 163, 113594, 117610, 2010.5133, 0.9182, 1900, 41, a2, 101101
minProd, m60, t50, w4, 1500, 48, 1769, 3311, 29.3315, 0.7845, 1946, 72, a3, 110010
bubbleSort, m37, t50, w2, 2771, 161, 75702, 78784, 2009.8053, 0.9182, 1900, 41, a2, 101100
insertSort, m54, t50, w8, 1188, 140, 3164, 4486, 58.5926, 0.9444, 1900, 40, a2, 000111
anagram, m120, t100, w2, 6326, 316, 16224, 23288, 135.2, 0.8667, 1370, 37, a5, 000001
factorial, m62, t100, w4, 3186, 103, 14070, 17692, 226.9355, 0.9677, 403, 18, a3, 101101
parg, m5018, t52, w2, 861626, 174, 17528, 913638, 3.493, 1.0, 418, 2518, a2, 101110
parg, m1254, t52, w2, 220882, 170, 4342, 225605, 3.4615, 1.0, 418, 2518, a2, 000011
parg, m5018, t52, w4, 850168, 56, 5486, 863192, 1.0933, 1.0, 418, 2518, a4, 111111
longestIncrease, m57, t50, w4, 4954, 3441, 25055, 31776, 439.5702, 0.9035, 1946, 70, a2, 100001
genPassword, m98, t100, w2, 3004, 326, 11088, 14878, 113.1429, 0.8367, 398, 63, a2, 101011
primes, m136, t100, w4, 2336, 294, 5082, 8312, 37.3676, 0.8793, 398, 30, a4, 000111
parg, m1254, t52, w4, 213131, 55, 1285, 214745, 1.0243, 1.0, 418, 2518, a3, 110011
mergeSort, m452, t50, w2, 20376, 163, 136420, 158712, 301.8142, 0.9336, 1900, 129, a2, 001111
huffmanCoding, m628, t50, w4, 35716, 51, 68738, 104922, 109.4554, 0.9013, 1874, 318, a4, 101010
huffmanCoding, m157, t50, w4, 8996, 164, 17211, 26382, 109.6274, 0.9013, 1874, 318, a4, 001010
dictionaryOrder, m142, t100, w2, 3886, 313, 67242, 72748, 473.5352, 0.9265, 8248, 32, a3, 110110
parg, m836, t52, w8, 144784, 19, 273, 145268, 0.3264, 1.0, 418, 2518, a5, 101010
genPassword, m24, t100, w8, 478, 261, 476, 1147, 19.4286, 0.8367, 398, 63, a2, 001111
mergeSort, m75, t50, w8, 2330, 22, 3507, 5877, 46.5619, 0.9336, 1900, 129, a2, 101011
longestIncrease, m38, t50, w2, 1633, 9799, 44293, 49405, 1165.6053, 0.9196, 1946, 70, a3, 010111
dictionaryOrder, m142, t100, w8, 2354, 40, 10004, 13230, 70.4507, 0.9265, 8248, 32, a2, 111110
quickSort, m254, t50, w8, 9372, 144, 30012, 40916, 118.1575, 0.9603, 1900, 56, a2, 011110
maxArrSumNeg, m224, t50, w8, 5180, 148, 20252, 26106, 90.4107, 0.9358, 1910, 63, a3, 011111
factorial, m62, t100, w8, 1044, 275, 10154, 11924, 163.7742, 0.9677, 403, 18, a2, 011111
genPassword, m16, t100, w2, 497, 309, 1860, 2483, 113.8776, 0.8367, 398, 63, a4, 001011
primes, m22, t100, w8, 372, 257, 292, 788, 12.8824, 0.8793, 398, 30, a3, 001111
factorial, m15, t100, w2, 779, 312, 9769, 10737, 630.2903, 0.9677, 403, 18, a4, 000000
selectSort, m184, t50, w4, 4080, 147, 30016, 35550, 163.1304, 0.9101, 1900, 45, a3, 000110
parg, m836, t52, w8, 144428, 19, 271, 144908, 0.3244, 1.0, 418, 2518, a4, 101011
genPassword, m24, t100, w2, 751, 319, 2773, 3717, 113.2041, 0.8367, 398, 63, a3, 100011
transpose, m298, t50, w4, 7604, 146, 41778, 49834, 140.1946, 0.8993, 903, 40, a3, 000011
huffmanCodingEff, m99, t50, w2, 7506, 163, 20434, 28646, 205.3668, 0.849, 1874, 239, a3, 000110
dictionaryOrder, m35, t100, w8, 591, 40, 2501, 3312, 70.4507, 0.9265, 8248, 32, a3, 101110
primes, m22, t100, w8, 381, 40, 294, 720, 12.9706, 0.8793, 398, 30, a3, 100111
mergeSort, m113, t50, w2, 10166, 161, 34295, 44589, 303.5, 0.9336, 1900, 129, a2, 011000
quickSort, m63, t50, w2, 3422, 163, 43434, 47182, 684, 0.9603, 1900, 56, a3, 011111
minProd, m362, t50, w4, 8842, 54, 10668, 19772, 29.4696, 0.7845, 1946, 72, a5, 111010
anagram, m30, t100, w2, 1629, 313, 4032, 5846, 134.4167, 0.8667, 1370, 37, a3, 001000
genPassword, m98, t100, w8, 2010, 38, 1960, 4182, 20, 0.8367, 398, 63, a3, 111011
selectSort, m46, t50, w8, 1032, 22, 2916, 4167, 63.3913, 0.9101, 1900, 45, a2, 110110
minProd, m90, t50, w8, 2250, 155, 2515, 4935, 27.7901, 0.8659, 1946, 72, a2, 001111
huffmanCoding, m628, t50, w8, 37598, 22, 30720, 71190, 48.9172, 0.9279, 1874, 318, a2, 101110
selectSort, m46, t50, w2, 1548, 161, 20089, 21869, 436.7174, 0.9101, 1900, 45, a3, 110111
add, m4, t100, w2, 94, 323, 138, 356, 34.6667, 0.9167, 583, 13, a5, 011010
genPassword, m98, t100, w2, 3022, 317, 10990, 14784, 112.1429, 0.8367, 398, 63, a3, 000011
primes, m34, t100, w2, 887, 317, 3602, 4825, 105.9559, 0.8793, 398, 30, a2, 000111
factorial, m62, t100, w2, 1584, 318, 39226, 41778, 632.6774, 0.9677, 403, 18, a3, 010111
transpose, m49, t50, w2, 1949, 156, 20784, 22811, 418.4698, 0.8993, 903, 40, a5, 000010
mergeSort, m75, t50, w2, 3397, 160, 22707, 26596, 301.4204, 0.9336, 1900, 129, a3, 100110
anagram, m20, t100, w8, 336, 269, 1667, 2127, 83.3667, 0.9286, 1370, 37, a3, 010111
huffmanCodingEff, m99, t50, w8, 5337, 22, 3036, 8760, 30.5126, 0.849, 1874, 239, a2, 101111
squareMatrix, m364, t50, w8, 9426, 22, 20794, 30426, 57.1264, 1.0, 903, 72, a2, 111010
parg, m5018, t52, w4, 849686, 53, 5176, 887078, 1.0315, 1.0, 418, 2518, a2, 111110
quickSort, m254, t50, w8, 9458, 145, 30012, 40984, 118.1575, 0.9603, 1900, 56, a3, 010110
anagram, m30, t100, w2, 1628, 316, 4063, 5879, 135.45, 0.8667, 1370, 37, a4, 101000
genPassword, m98, t100, w4, 1936, 101, 4130, 6398, 42.1429, 0.8367, 398, 63, a3, 100011
dictionaryOrder, m23, t100, w4, 1192, 99, 3882, 5167, 164.0423, 0.9265, 8248, 32, a2, 101101
minProd, m90, t50, w4, 2232, 51, 2665, 4962, 29.453, 0.7845, 1946, 72, a2, 110010
parg, m1254, t52, w4, 212465, 59, 1291, 215697, 1.0295, 1.0, 418, 2518, a3, 110111
squareMatrix, m364, t50, w8, 9306, 22, 20852, 30364, 57.2857, 1.0, 903, 72, a2, 101011
genPassword, m16, t100, w8, 339, 251, 312, 758, 19.1224, 0.8367, 398, 63, a3, 011011
longestIncrease, m38, t50, w4, 1057, 10247, 16968, 21476, 446.5351, 0.9035, 1946, 70, a2, 010011
mergeSort, m113, t50, w2, 10021, 161, 34570, 44717, 305.9292, 0.9336, 1900, 129, a3, 100001
primes, m136, t100, w8, 2274, 39, 1752, 4846, 12.8824, 0.8793, 398, 30, a3, 111110
dictionaryOrder, m35, t100, w2, 981, 326, 16828, 18223, 474.0423, 0.9265, 8248, 32, a2, 001110
quickSort, m42, t50, w4, 1499, 50, 10338, 11999, 244.2126, 0.9603, 1900, 56, a3, 110111
parg, m1254, t52, w8, 218590, 20, 25391, 244292, 20.2399, 1.0, 418, 2518, a5, 111011
parg, m836, t52, w4, 141799, 54, 857, 147982, 1.0251, 1.0, 418, 2518, a2, 110110
transpose, m49, t50, w2, 3961, 159, 20658, 24700, 415.9463, 0.8993, 903, 40, a3, 001001
parg, m5018, t52, w4, 852032, 57, 1618, 861358, 0.3224, 1.0, 418, 2518, a5, 101111
factorial, m62, t100, w2, 1552, 315, 39078, 41378, 630.2903, 0.9677, 403, 18, a2, 000011
parg, m1254, t52, w2, 215060, 172, 4371, 219814, 3.4847, 1.0, 418, 2518, a2, 101010
quickSort, m42, t50, w2, 2305, 164, 28952, 31479, 683.9134, 0.9603, 1900, 56, a4, 010111
factorial, m62, t100, w2, 1544, 320, 39158, 41462, 631.5806, 0.9677, 403, 18, a2, 101011
bubbleSort, m56, t50, w2, 1844, 154, 108193, 110384, 1914.9292, 0.9182, 1900, 41, a2, 110111
longestIncrease, m38, t50, w4, 1057, 3449, 15891, 18130, 418.1842, 0.9035, 1946, 70, a4, 111011
longestIncrease, m38, t50, w4, 1062, 10187, 16625, 21188, 437.5088, 0.9035, 1946, 70, a4, 001111
transpose, m298, t50, w2, 23752, 147, 124014, 148240, 416.1544, 0.8993, 903, 40, a3, 110001
anagram, m120, t100, w2, 6568, 323, 16178, 23508, 134.8167, 0.8667, 1370, 37, a5, 110000
longestIncrease, m57, t50, w4, 4938, 3484, 25759, 32486, 451.9123, 0.9035, 1946, 70, a3, 111000
insertSort, m54, t50, w8, 1181, 23, 3131, 4358, 57.9907, 0.9444, 1900, 40, a3, 111011
dictionaryOrder, m142, t100, w2, 7158, 320, 67020, 75438, 471.9718, 0.9265, 8248, 32, a2, 001101
mergeSort, m452, t50, w2, 20678, 166, 136884, 159304, 302.8407, 0.9336, 1900, 129, a3, 110111
anagram, m20, t100, w2, 538, 320, 2716, 3378, 135.8, 0.8667, 1370, 37, a4, 100011
add, m24, t100, w2, 588, 314, 798, 2118, 33.25, 0.9167, 583, 13, a2, 110010
transpose, m49, t50, w4, 1260, 159, 6951, 8291, 139.9597, 0.8993, 903, 40, a4, 001011
genPassword, m16, t100, w2, 483, 318, 1833, 2443, 112.2449, 0.8367, 398, 63, a3, 010010
factorial, m62, t100, w4, 3146, 301, 14076, 17948, 227.0323, 0.9677, 403, 18, a2, 011000
huffmanCoding, m628, t50, w8, 38458, 120, 30844, 72576, 49.1146, 0.9279, 1874, 318, a2, 011110
parg, m1254, t52, w8, 221730, 156, 411, 222526, 0.3276, 1.0, 418, 2518, a2, 010011
factorial, m15, t100, w2, 823, 315, 9749, 10761, 628.9677, 0.9677, 403, 18, a5, 101000
primes, m136, t100, w8, 2224, 38, 1772, 4740, 13.0294, 0.8793, 398, 30, a3, 100110
longestIncrease, m228, t50, w4, 6294, 3435, 104746, 118802, 459.4123, 0.9035, 1946, 70, a4, 111111
mergeSort, m75, t50, w2, 7077, 161, 23078, 30642, 306.354, 0.9336, 1900, 129, a2, 111100
genPassword, m16, t100, w8, 325, 293, 314, 758, 19.2653, 0.8367, 398, 63, a2, 001010
factorial, m10, t100, w4, 531, 100, 2345, 2928, 226.9355, 0.9677, 403, 18, a2, 101000
mergeSort, m452, t50, w2, 20472, 164, 136630, 158998, 302.2788, 0.9336, 1900, 129, a3, 100111
dictionaryOrder, m23, t100, w2, 1198, 325, 11231, 12701, 474.5634, 0.9265, 8248, 32, a4, 100100
factorial, m15, t100, w8, 257, 249, 2542, 2970, 164, 0.9677, 403, 18, a2, 010111
mergeSort, m113, t50, w2, 5150, 163, 34022, 39932, 301.0796, 0.9336, 1900, 129, a4, 111110
parg, m1254, t52, w8, 224276, 140, 408, 225517, 0.3256, 1.0, 418, 2518, a3, 000111
anagram, m30, t100, w4, 509, 286, 2501, 3223, 83.3833, 0.9286, 1370, 37, a3, 010111
genPassword, m98, t100, w4, 2050, 96, 4550, 7066, 46.4286, 0.8367, 398, 63, a4, 101111
factorial, m62, t100, w4, 1046, 296, 14076, 15842, 227.0323, 0.9677, 403, 18, a2, 001010
selectSort, m30, t50, w2, 1023, 161, 13347, 14539, 435.2391, 0.9101, 1900, 45, a2, 111111
squareMatrix, m364, t50, w2, 28550, 154, 110486, 141554, 303.533, 1.0, 903, 72, a5, 111100
parg, m5018, t52, w8, 868708, 19, 1638, 871612, 0.3264, 1.0, 418, 2518, a5, 101010
selectSort, m184, t50, w2, 6112, 157, 80160, 87320, 435.6522, 0.9101, 1900, 45, a3, 010111
longestIncrease, m38, t50, w8, 1070, 2509, 8102, 10136, 213.2193, 0.9196, 1946, 70, a2, 101111
primes, m136, t100, w2, 3528, 317, 14430, 19116, 106.1029, 0.8793, 398, 30, a3, 000111
bubbleSort, m56, t50, w2, 1841, 159, 109534, 111726, 1938.6549, 0.9182, 1900, 41, a4, 000111
anagram, m20, t100, w2, 1082, 321, 2699, 3909, 134.9833, 0.8667, 1370, 37, a2, 101000
add, m6, t100, w2, 141, 319, 209, 537, 34.8333, 0.9167, 583, 13, a3, 010011
selectSort, m46, t50, w2, 3086, 160, 20152, 23615, 438.0978, 0.9101, 1900, 45, a4, 100100
factorial, m62, t100, w2, 3150, 326, 39128, 43306, 631.0968, 0.9677, 403, 18, a4, 101101
transpose, m74, t50, w4, 1890, 159, 10427, 12437, 139.9597, 0.8993, 903, 40, a4, 001011
transpose, m74, t50, w4, 1900, 153, 10456, 12475, 140.3557, 0.8993, 903, 40, a3, 010010
longestIncrease, m38, t50, w8, 1073, 2313, 8479, 10514, 223.1491, 0.9196, 1946, 70, a3, 110110
dictionaryOrder, m23, t100, w4, 403, 93, 3885, 4453, 164.169, 0.9265, 8248, 32, a2, 110111
maxArrSumNeg, m37, t50, w8, 880, 22, 3668, 4597, 98.2679, 0.9358, 1910, 63, a2, 101111
primes, m22, t100, w8, 372, 39, 294, 809, 13, 0.8793, 398, 30, a3, 101110
factorial, m15, t100, w8, 258, 268, 2632, 3054, 169.8387, 0.9677, 403, 18, a5, 011010
mergeSort, m452, t50, w2, 20508, 162, 136218, 159700, 301.3673, 0.9336, 1900, 129, a3, 101110
factorial, m15, t100, w4, 797, 100, 3517, 4393, 226.9355, 0.9677, 403, 18, a2, 101000
dictionaryOrder, m23, t100, w4, 1200, 291, 3874, 5228, 163.7042, 0.9265, 8248, 32, a2, 010101
massive, m24, t60, w4, 956, 38295, 31837, 51994, 1299.4694, 1.0, 169, 13, a5, 110101
maxArrSumNeg, m224, t50, w8, 5466, 21, 20242, 26016, 90.3661, 0.9358, 1910, 63, a3, 100111
bubbleSort, m37, t50, w4, 2455, 154, 25718, 28495, 682.7965, 0.9182, 1900, 41, a2, 011100
parg, m1254, t52, w4, 215042, 173, 1285, 216734, 1.0247, 1.0, 418, 2518, a3, 000010
selectSort, m30, t50, w2, 2033, 160, 13340, 15540, 435.0217, 0.9101, 1900, 45, a4, 010101
dictionaryOrder, m142, t100, w2, 7306, 327, 67824, 76416, 477.6338, 0.9265, 8248, 32, a4, 010101
bubbleSort, m37, t50, w2, 1220, 165, 73565, 74997, 1953.0708, 0.9182, 1900, 41, a4, 110111
maxArrSumNeg, m56, t50, w8, 1321, 127, 5262, 6932, 93.9732, 0.9358, 1910, 63, a3, 001110
huffmanCoding, m157, t50, w4, 9626, 49, 17290, 27042, 110.1274, 0.9013, 1874, 318, a5, 100011
factorial, m15, t100, w8, 249, 293, 2637, 3063, 170.129, 0.9677, 403, 18, a5, 010010
selectSort, m184, t50, w4, 4100, 151, 30014, 34752, 163.1196, 0.9101, 1900, 45, a2, 000111
parg, m1254, t52, w4, 214081, 173, 1324, 222323, 1.0558, 1.0, 418, 2518, a5, 000110
mergeSort, m113, t50, w4, 3374, 146, 11419, 14912, 101.0575, 0.9336, 1900, 129, a2, 000011
insertSort, m216, t50, w8, 4708, 133, 12672, 17796, 58.6667, 0.9444, 1900, 40, a2, 001010
anagram, m120, t100, w4, 2032, 308, 10004, 12970, 83.3667, 0.9286, 1370, 37, a2, 011111
bubbleSort, m37, t50, w2, 2433, 164, 71644, 74400, 1902.0619, 0.9182, 1900, 41, a2, 001100
parg, m836, t52, w8, 145429, 154, 443, 149712, 0.5297, 1.0, 418, 2518, a5, 010110
genPassword, m98, t100, w4, 1900, 283, 4090, 6688, 41.7347, 0.8367, 398, 63, a2, 010011
insertSort, m36, t50, w4, 794, 50, 4108, 4995, 114.1204, 0.9444, 1900, 40, a3, 110111
mergeSort, m75, t50, w4, 2271, 49, 7621, 9941, 101.1637, 0.9336, 1900, 129, a4, 101010
insertSort, m216, t50, w4, 4744, 53, 24662, 29648, 114.1759, 0.9444, 1900, 40, a2, 101011
anagram, m20, t100, w4, 345, 301, 1667, 2257, 83.3667, 0.9286, 1370, 37, a2, 011110
quickSort, m42, t50, w4, 1507, 149, 10342, 12182, 244.3071, 0.9603, 1900, 56, a2, 001110
minProd, m60, t50, w2, 2205, 160, 5273, 7885, 87.4088, 0.8659, 1946, 72, a3, 110110
primes, m34, t100, w8, 552, 280, 441, 1186, 12.9853, 0.8793, 398, 30, a2, 001111
bubbleSort, m37, t50, w4, 841, 50, 25681, 26619, 681.8053, 0.9182, 1900, 41, a3, 101111
mergeSort, m452, t50, w2, 20296, 165, 136562, 157370, 302.1283, 0.9336, 1900, 129, a2, 110010
factorial, m15, t100, w4, 786, 296, 3516, 4510, 226.871, 0.9677, 403, 18, a2, 000101
factorial, m15, t100, w2, 797, 330, 9794, 10841, 631.9032, 0.9677, 403, 18, a3, 111101
bubbleSort, m37, t50, w4, 2456, 148, 25735, 28495, 683.2301, 0.9182, 1900, 41, a3, 001100
anagram, m120, t100, w2, 6472, 316, 15950, 23588, 132.9167, 0.8667, 1370, 37, a4, 101101
primes, m136, t100, w2, 3532, 314, 14444, 19206, 106.2059, 0.8793, 398, 30, a2, 100111
selectSort, m184, t50, w2, 13856, 161, 79880, 95220, 434.1304, 0.9101, 1900, 45, a3, 110100
transpose, m298, t50, w2, 23790, 159, 123998, 148274, 416.1007, 0.8993, 903, 40, a2, 100001
bubbleSort, m37, t50, w4, 885, 147, 26110, 27119, 693.1858, 0.9182, 1900, 41, a3, 000111
longestIncrease, m57, t50, w4, 1583, 3468, 24161, 27524, 423.8772, 0.9035, 1946, 70, a2, 100011
factorial, m15, t100, w2, 396, 318, 9806, 10444, 632.6774, 0.9677, 403, 18, a3, 010111
mergeSort, m113, t50, w8, 3482, 155, 5270, 8880, 46.6372, 0.9336, 1900, 129, a3, 000011
parg, m1254, t52, w8, 222124, 103, 424, 228233, 0.338, 1.0, 418, 2518, a5, 001110
bubbleSort, m226, t50, w2, 7442, 167, 429168, 437910, 1898.9735, 0.9182, 1900, 41, a3, 000111
squareMatrix, m91, t50, w4, 2347, 49, 11361, 13948, 124.8516, 1.0, 903, 72, a5, 101111
factorial, m10, t100, w4, 531, 101, 2345, 2929, 226.9677, 0.9677, 403, 18, a3, 100001
factorial, m62, t100, w8, 1016, 258, 10168, 11818, 164, 0.9677, 403, 18, a2, 011011
squareMatrix, m364, t50, w8, 9602, 140, 20726, 30776, 56.9396, 1.0, 903, 72, a2, 011011
selectSort, m184, t50, w4, 4012, 156, 30016, 34852, 163.1304, 0.9101, 1900, 45, a3, 001111
